part	text_index	letter	down_ms	up_ms	actual_down_ms	actual_up_ms
0	90	D	76473.27	76558.48	76477.40	76562.52
0	90	D	76632.39	76715.45	76636.05	76719.53
0	91	E	77361.48	77442.05	77365.05	77446.24
0	93	4	78005.48	78080.62	78009.96	78084.20
0	93	4	78152.19	78218.52	78156.75	78222.24
0	93	4	78300.12	78382.99	78304.30	78387.16
0	93	4	78458.50	78535.86	78462.61	78540.15
0	93	4	78607.39	78875.11	78611.77	78879.23
0	94	Z	79130.86	79401.01	79134.99	79405.54
0	94	Z	79470.12	79686.23	79474.42	79690.21
0	94	Z	79773.66	79846.14	79777.99	79849.91
0	94	Z	79917.73	80005.95	79921.40	80010.14
0	95	5	80271.82	80357.17	80275.52	80361.60
0	95	5	80428.45	80508.81	80432.36	80513.06
0	95	5	80576.75	80661.16	80580.90	80665.52
0	95	5	80732.30	80815.00	80736.50	80818.63
0	95	5	80881.51	80968.62	80885.60	80972.77
0	96	S	81243.72	81323.95	81247.41	81327.57
0	96	S	81407.57	81486.87	81411.84	81490.93
0	96	S	81555.26	81642.53	81558.82	81646.59
0	97	L	81920.22	81990.48	81924.05	81994.57
0	97	L	82069.66	82318.04	82073.59	82322.29
0	97	L	82398.27	82490.16	82402.35	82493.82
0	97	L	82551.05	82632.51	82555.05	82636.26
0	99	K	83233.14	83512.20	83237.38	83516.21
0	99	K	83584.67	83666.87	83588.58	83671.08
0	99	K	83737.94	83967.30	83741.83	83971.47
1	0	D	88252.13	88415.25	88256.52	88419.51
1	0	D	88470.59	88523.16	88474.69	88526.78
1	0	D	88587.07	88644.09	88590.75	88648.34
1	1	E	88792.07	88858.14	88796.17	88861.96
1	3	4	89287.93	89339.78	89291.59	89343.64
1	3	4	89393.21	89440.87	89397.00	89444.97
1	3	4	89499.94	89568.30	89504.42	89572.31
1	3	4	89633.43	89677.92	89637.54	89681.81
1	3	4	89735.63	89873.59	89739.77	89877.31
1	4	Z	90048.68	90240.29	90053.00	90244.41
1	4	Z	90301.71	90524.18	90306.04	90527.73
1	4	Z	90571.25	90632.01	90575.54	90635.84
1	4	Z	90680.29	90733.08	90684.48	90736.76
1	5	5	90937.76	91017.56	90941.66	91021.51
1	5	5	91069.26	91121.11	91073.34	91125.23
1	5	5	91176.04	91221.15	91180.11	91225.39
1	5	5	91277.95	91327.84	91281.51	91332.00
1	5	5	91367.62	91422.55	91371.77	91426.65
1	6	S	91602.44	91666.11	91606.58	91670.34
1	6	S	91726.10	91780.02	91729.87	91783.93
1	6	S	91825.70	91883.90	91829.49	91887.85
1	7	L	92080.85	92135.55	92085.35	92140.21
1	7	L	92191.61	92379.46	92195.13	92383.13
1	7	L	92444.08	92502.01	92448.26	92506.27
1	7	L	92556.21	92612.12	92560.37	92616.50
1	9	=	92956.05	93167.41	92960.20	93171.74
1	9	=	93228.34	93286.26	93232.51	93290.38
1	9	=	93340.78	93388.90	93345.28	93392.92
1	9	=	93443.18	93500.95	93447.07	93504.96
1	9	=	93562.62	93737.13	93567.26	93740.79
1	11	H	94174.05	94223.54	94177.83	94227.58
1	11	H	94286.07	94350.66	94290.37	94355.08
1	11	H	94413.70	94460.67	94417.76	94464.92
1	11	H	94519.00	94560.67	94522.67	94564.63
1	12	R	94768.68	94815.24	94772.67	94819.25
1	12	R	94873.06	95077.76	94876.55	95082.15
1	12	R	95134.01	95196.94	95137.76	95201.08
1	14	A	95661.15	95721.09	95664.85	95725.29
