"prefix","dxcc_entity","dxcc_name","owner_country","source"
"6I4","204","Revillagigedo","Revilla Gigedo","ng3k-itu-owner"
"6J","50","Mexico","Mexico","ng3k-direct"
"6J4","204","Revillagigedo","Revilla Gigedo","ng3k-itu-owner"
"6K","137","Republic of Korea","So Korea","ng3k-itu-owner"
"6L","137","Republic of Korea","So Korea","ng3k-itu-owner"
"6M","137","Republic of Korea","So Korea","ng3k-itu-owner"
"6N","137","Republic of Korea","So Korea","ng3k-itu-owner"
"6O","232","Somalia","Somalia","ng3k-direct"
"6P","372","Pakistan","Pakistan","ng3k-direct"
"6Q","372","Pakistan","Pakistan","ng3k-direct"
"6R","372","Pakistan","Pakistan","ng3k-direct"
"6S","372","Pakistan","Pakistan","ng3k-direct"
"6T","466","Sudan","Sudan","ng3k-direct"
"6U","466","Sudan","Sudan","ng3k-direct"
"6V","456","Senegal","Senegal","ng3k-direct"
"6W","456","Senegal","Senegal","ng3k-direct"
"6X","438","Madagascar","Madagascar","ng3k-direct"
"6Y","82","Jamaica","Jamaica","ng3k-direct"
"6Z","434","Liberia","Liberia","ng3k-direct"
"7A","327","Indonesia","Indonesia","ng3k-direct"
"7A9","327","Indonesia","Indonesia","ng3k-direct"
"7B","327","Indonesia","Indonesia","ng3k-direct"
"7B9","327","Indonesia","Indonesia","ng3k-direct"
"7C","327","Indonesia","Indonesia","ng3k-direct"
"7C9","327","Indonesia","Indonesia","ng3k-direct"
"7D","327","Indonesia","Indonesia","ng3k-direct"
"7D9","327","Indonesia","Indonesia","ng3k-direct"
"7E","327","Indonesia","Indonesia","ng3k-direct"
"7E9","327","Indonesia","Indonesia","ng3k-direct"
"7F","327","Indonesia","Indonesia","ng3k-direct"
"7F9","327","Indonesia","Indonesia","ng3k-direct"
"7G","327","Indonesia","Indonesia","ng3k-direct"
"7G9","327","Indonesia","Indonesia","ng3k-direct"
"7H","327","Indonesia","Indonesia","ng3k-direct"
"7H9","327","Indonesia","Indonesia","ng3k-direct"
"7I","327","Indonesia","Indonesia","ng3k-direct"
"7I9","327","Indonesia","Indonesia","ng3k-direct"
"7J","339","Japan","Japan","ng3k-direct"
"7K","339","Japan","Japan","ng3k-direct"
"7L","339","Japan","Japan","ng3k-direct"
"7M","339","Japan","Japan","ng3k-direct"
"7N","339","Japan","Japan","ng3k-direct"
"7O","492","Yemen","PDR Yemen","ng3k-itu-owner"
"7P","432","Lesotho","Lesotho","ng3k-direct"
"7Q","440","Malawi","Malawi","ng3k-direct"
"7R","400","Algeria","Algeria","ng3k-direct"
"7S","284","Sweden","Sweden","ng3k-direct"
"7T","400","Algeria","Algeria","ng3k-direct"
"7U","400","Algeria","Algeria","ng3k-direct"
"7V","400","Algeria","Algeria","ng3k-direct"
"7W","400","Algeria","Algeria","ng3k-direct"
"7X","400","Algeria","Algeria","ng3k-direct"
"7Y","400","Algeria","Algeria","ng3k-direct"
"7Z","378","Saudi Arabia","Saudi Arabia","ng3k-direct"
"8A","327","Indonesia","Indonesia","ng3k-direct"
"8A9","327","Indonesia","Indonesia","ng3k-direct"
